,entsoe_wind_DE_50HZ,entsoe_solar_DE_50HZ,wpl_wind_DE_50HZ,atlite_wind_DE_50HZ,pvlib_mastr_solar_DE_50HZ,atlite_solar_DE_50HZ,entsoe_wind_DE_AMPRION,entsoe_solar_DE_AMPRION,wpl_wind_DE_AMPRION,atlite_wind_DE_AMPRION,pvlib_mastr_solar_DE_AMPRION,atlite_solar_DE_AMPRION,entsoe_wind_DE_TENNET,entsoe_solar_DE_TENNET,wpl_wind_DE_TENNET,atlite_wind_DE_TENNET,pvlib_mastr_solar_DE_TENNET,atlite_solar_DE_TENNET,entsoe_wind_DE_TRANSNET,entsoe_solar_DE_TRANSNET,wpl_wind_DE_TRANSNET,atlite_wind_DE_TRANSNET,pvlib_mastr_solar_DE_TRANSNET,atlite_solar_DE_TRANSNET
2023-07-13 16:00:00,4849.25,2674.0,7011.401919485873,6140.338435434975,6700.581887669747,6068.23709922127,1436.75,2158.0,2206.289028379456,1761.3526090868775,5231.019874604733,4758.235203639409,5626.5,4232.25,8165.0219586967505,7571.980944244282,11709.306514275204,10274.742020896843,293.25,1626.5,241.7295365010652,149.41904788482046,2566.8196825655236,2218.995544942551
2023-07-13 17:00:00,4203.75,1368.0,5781.627875915813,5151.584265819683,3998.3806667360923,3509.0999830125993,1098.0,1095.25,1703.9109180188457,1344.5404784123384,3534.986031972307,2998.0010779922386,4495.25,2028.75,6492.218066740217,6133.694200696288,7061.470558993233,5843.682555612304,215.0,802.0,194.0063687175143,117.76478114685597,2060.829491223596,1686.7369918776574
2023-07-13 18:00:00,2839.0,486.5,4086.84122016533,3395.7390083819873,1658.4448441305658,1223.0068935843233,945.75,375.0,1106.0488330345006,850.9421021011035,1954.6782964262786,1370.2164530150667,3015.5,552.0,4874.857474564016,4622.284848331922,3273.0146438655315,2366.9416177328276,163.5,223.25,124.6256405080694,68.6489776634889,1066.6352627714843,823.7728466951371
2023-07-13 19:00:00,2230.0,24.5,3064.286492993716,2451.970235221139,894.257918934506,287.9629339249566,709.25,31.0,800.9223578359072,556.8395035499137,1004.2844123101095,314.26146094834485,2167.25,30.5,3801.911797494336,3609.617450155721,1755.380255750004,494.43899743243645,112.5,3.25,112.78621126119485,53.396235036510305,531.2269164158278,142.03936901978014
2023-07-13 20:00:00,2051.25,0.0,2404.6842055795914,1951.3051435924565,46.08622420247125,0.0011382126081583644,546.75,0.0,693.637605944721,441.7374056775901,114.26804347837775,2.45301610535737,1765.0,0.0,2934.667802535323,2738.410121655415,127.01071524112315,7.002227167526513,34.25,0.0,103.96666100621158,48.2826231219243,20.81260820456815,2.0288333652231413e-05
2023-07-13 21:00:00,2090.25,0.0,2026.4077591286332,1676.2685049619727,0.0,0.0,513.5,0.0,556.3264401294292,347.88428872869974,0.0,0.0,1617.5,0.0,2986.1322822185484,2692.2522927415484,0.0,0.0,12.75,0.0,90.82001071943314,44.56908739093048,0.0,0.0
2023-07-13 22:00:00,2247.25,0.0,1837.0736154251895,1524.8146220997298,0.0,0.0,470.25,0.0,482.6162005847394,290.8985531117401,0.0,0.0,1519.0,0.0,2552.251415974595,2219.625110374617,0.0,0.0,4.25,0.0,24.013223519183825,18.9860472160661,0.0,0.0
2023-07-13 23:00:00,2443.5,0.0,1948.5152487400044,1581.2733540145848,0.0,0.0,390.75,0.0,608.7169311621386,393.62853943859284,0.0,0.0,1386.5,0.0,2286.823082280975,2073.9358769670307,0.0,0.0,11.0,0.0,7.416351115424219,1.5358144480807303,0.0,0.0
2023-07-14 00:00:00,2407.25,0.0,2257.819058580342,1861.9258731813852,0.0,0.0,399.75,0.0,754.5003716910849,528.4899987772516,0.0,0.0,1342.0,0.0,2788.4234742609856,2393.9451748387714,0.0,0.0,8.75,0.0,5.81628516251911,1.2381016293304905,0.0,0.0
2023-07-14 01:00:00,2188.5,0.0,2402.8506566333954,1962.7985985507298,0.0,0.0,414.0,0.0,852.8103664605476,588.815469803255,0.0,0.0,1309.5,0.0,2883.151771861522,2532.5783582600907,0.0,0.0,14.75,0.0,4.354944455841852,0.5200342886671282,0.0,0.0
