,entsoe_wind,entsoe_solar,atlite_wind,atlite_solar,wpl_wind,pvlib_uniform_solar,pvlib_mastr_solar
2023-04-15 10:00:00,11326.0,11740.75,15255.02244747455,19037.01377846257,17023.28048875871,22312.052319356,21687.907719957166
2023-04-15 11:00:00,11942.25,10935.75,16184.85800607109,19010.876234123538,18354.590185592962,22419.346098547045,21845.23796573199
2023-04-15 12:00:00,12686.75,9374.25,17477.16613222559,18608.83690319296,20066.2952596463,22320.73726043299,21776.03400456589
2023-04-15 13:00:00,13008.0,7467.0,17645.20891335791,18267.731715479935,20498.095570998496,21793.547871704974,21308.596990890146
2023-04-15 14:00:00,12936.5,5435.75,17407.260948369694,15842.52916757105,20201.803090307334,19011.438844051474,18631.180774742097
2023-04-15 15:00:00,12929.0,3447.75,16440.183456845618,11896.373960746736,19259.50880457594,14574.129887207942,14372.56478871489
2023-04-15 16:00:00,12768.0,1613.0,15313.704841289908,7367.481771079336,17811.549777507345,9420.264593019509,9376.573406572496
2023-04-15 17:00:00,12170.5,346.5,14408.237669021706,3424.365453485347,16840.592670184215,4860.796550737201,5127.831289220738
2023-04-15 18:00:00,12076.0,6.75,14122.109225868122,506.4736692713277,16733.24951476113,1360.012921125124,1530.3011954161502
2023-04-15 19:00:00,11607.0,0.0,13688.932759245483,0.0,16403.140317619404,31.400960119497483,31.06783073868265
2023-04-15 20:00:00,10776.5,0.0,12671.971150920803,0.0,15430.046455806254,0.0,0.0
2023-04-15 21:00:00,9850.5,0.0,11729.481667363101,0.0,14464.089818280383,0.0,0.0
2023-04-15 22:00:00,9120.5,0.0,10241.514982045197,0.0,12795.574157125267,0.0,0.0
2023-04-15 23:00:00,8610.5,0.0,9889.327854620775,0.0,12510.534156513137,0.0,0.0
2023-04-16 00:00:00,8369.75,0.0,9553.882318904327,0.0,12193.02078840424,0.0,0.0
2023-04-16 01:00:00,8325.5,0.0,9238.361471500966,0.0,11850.556578643878,0.0,0.0
2023-04-16 02:00:00,8229.25,0.0,8946.073357306797,0.0,11536.243289486218,0.0,0.0
2023-04-16 03:00:00,8106.5,0.25,8928.79630786833,0.0,11548.190418722746,0.0,0.0
2023-04-16 04:00:00,7898.0,98.25,8941.269682588469,0.0,11672.964784447562,0.0,0.0
2023-04-16 05:00:00,7366.25,1001.5,8989.353796303365,8.263563759952763,11659.793793079929,227.6868857639888,226.5072989058354
2023-04-16 06:00:00,6427.5,2871.5,9047.3916743749,986.5267387735495,11591.422336364847,2136.8849048443335,2120.561103710605
2023-04-16 07:00:00,5554.5,5177.0,8836.201105281729,3726.2943169098257,11133.491085699581,5248.127915960903,5195.993437552822
2023-04-16 08:00:00,5266.75,7959.5,8626.162472588485,6886.723594972305,11037.611179023801,8661.513277387447,8565.023684149917
2023-04-16 09:00:00,5343.0,10039.25,8455.171132129899,12003.334943976004,10823.910525082523,14036.371349479396,13822.62439789501
2023-04-16 10:00:00,5556.0,11043.0,6743.397470241832,15359.338552841535,8532.311329676584,17616.242345716302,17341.667105524066
2023-04-16 11:00:00,5700.25,11471.0,7135.645559988261,18253.240818804614,9034.62560610658,20764.460522310706,20424.116127622918
2023-04-16 12:00:00,5657.75,11049.25,7361.21024123221,20622.55508283899,9221.823073073501,23515.098345350212,23052.859732993576
2023-04-16 13:00:00,5816.75,9979.75,6898.947142342888,20739.325322364093,8583.836325998278,23479.275900804165,23021.47580532442
2023-04-16 14:00:00,5982.5,7888.75,6637.543739144549,20366.200816212957,8217.469315942375,23429.844536825443,22933.959779149693
2023-04-16 15:00:00,6001.75,5390.25,6627.058344014737,16924.504485940073,8228.888065614045,19737.781549992455,19420.988787556198
2023-04-16 16:00:00,5867.5,2722.5,6838.8553800328955,11218.582387115668,8591.057524780066,13443.095073374996,13479.360851818536
2023-04-16 17:00:00,5540.25,655.25,6682.712637048151,5933.950968159243,8611.822780816616,7201.365337180739,8176.134489428311
2023-04-16 18:00:00,5558.0,15.0,6755.551790003198,913.8628491435412,8918.800053363973,1992.2915598994377,2826.9035362653367
2023-04-16 19:00:00,5713.0,0.0,7030.548691731968,0.0,9408.354626751194,81.73621332704546,80.80001549830588
2023-04-16 20:00:00,5738.0,0.0,6699.08719245885,0.0,9043.086021836445,0.0,0.0
2023-04-16 21:00:00,5750.25,0.0,6379.790823791795,0.0,8631.46032079182,0.0,0.0
2023-04-16 22:00:00,5354.75,0.0,6382.9423157394085,0.0,8572.082572669948,0.0,0.0
2023-04-16 23:00:00,4915.75,0.0,5889.0261858275235,0.0,8027.435878220257,0.0,0.0
2023-04-17 00:00:00,4597.25,0.0,5346.770498716774,0.0,7383.2193928659935,0.0,0.0
2023-04-17 01:00:00,4455.75,0.0,4924.880896967034,0.0,6974.319103573112,0.0,0.0
2023-04-17 02:00:00,4533.0,0.0,4797.049519204891,0.0,6893.677791204205,0.0,0.0
2023-04-17 03:00:00,4746.5,0.5,4906.809659344796,0.0,6933.78736849073,0.0,0.0
2023-04-17 04:00:00,4351.0,127.0,5232.976227299389,0.0,7265.454355005579,0.0,0.0
2023-04-17 05:00:00,4823.75,1790.25,5809.353672981514,57.113100068281874,7765.56915815524,583.3606565000584,582.1029250834824
2023-04-17 06:00:00,4000.5,5286.5,5920.431097519439,2888.677936594253,7413.895701914826,4880.8195109987,4853.091115567784
2023-04-17 07:00:00,3654.25,10032.0,5006.9798203099945,10947.836755466196,6367.0640081531255,13317.155827863953,13021.793815248093
2023-04-17 08:00:00,4134.0,14667.75,5234.443455325741,20700.612406160595,6665.953568471225,23609.700761398577,22789.008636587674
2023-04-17 09:00:00,5057.75,18911.75,6269.199789912505,28197.371788685457,7631.027146300461,31765.351664947942,30608.325392557534
2023-04-17 10:00:00,6719.25,21556.0,5045.743598971477,37979.95161601504,6033.753176739578,42924.333156049426,41137.0200316267
2023-04-17 11:00:00,8584.5,21907.0,8030.7508194656,42090.34932943407,9612.906563456769,48252.88014585688,46209.96281607759
2023-04-17 12:00:00,10151.25,20464.5,10696.155005445555,44801.00622395982,12804.078036035397,51900.45948640275,49768.57815549477
