,KWF1_actual,KWF2_actual,KWF3_actual,KWF4_actual,KWF5_actual,KWF6_actual
2023-07-14 10:00:00,708.8626948038741,449.3947861989341,699.394110743205,-0.12901808816629148,-1.0885178548594314,664.8942377726239
2023-07-14 11:00:00,768.1917545318606,760.0866456607832,877.0801579292956,-0.1415553379959116,-1.0336562730371952,775.3260678609216
2023-07-14 12:00:00,1196.3066144307463,1040.972911526865,1257.2155988057466,-0.13497550391281646,-1.0758916944265364,984.6755582173672
2023-07-14 13:00:00,1309.8092089335132,1143.1430226643886,1474.8171615600597,-0.14457850341374676,-1.0431703574955464,1168.9924570719406
2023-07-14 14:00:00,1672.679045613608,1255.8842674255375,1770.862282307944,-0.18370183918935554,-1.217891608675321,1785.9338109334324
2023-07-14 15:00:00,1757.302349344891,1211.8030148824062,1813.679592895509,-0.14324475452303884,-1.0554408570130667,1582.4813003540048
2023-07-14 16:00:00,1704.1285268147797,1165.3402353922531,1834.9057729085305,-0.1555152541802575,-1.090029445042213,1708.3562540690116
2023-07-14 17:00:00,1299.1312394460053,1025.0351524353034,1328.7335538228363,-0.13959917069102323,-1.0653106016417342,1303.1369194030774
2023-07-14 18:00:00,901.0530722300217,974.5576291402185,1074.3197692871097,-0.16188449633160704,-1.133308451335158,815.721451361138
2023-07-14 19:00:00,781.7336285909018,994.271864064535,972.7527730305992,-0.1383543377742171,-1.0470826874176662,692.8781781884168
2023-07-14 20:00:00,704.2403752644858,996.3602088928232,841.8519676342348,-0.1532923374480257,-1.1625854375461737,560.6187589009604
2023-07-14 21:00:00,1056.8379300435392,985.7149266828579,537.9957848230999,-0.14982458810942864,-1.2709748630722362,801.6786249796554
2023-07-14 22:00:00,513.242765915185,575.6485707600913,479.3888106028239,-0.1452898363427569,-1.1923725195229056,372.7768836975099
2023-07-14 23:00:00,353.2747267405193,469.9535382588704,222.3346785227458,-0.14386717155575748,-1.0362348588804406,319.59978408813487
2023-07-15 00:00:00,729.9662918090822,803.0820899963379,475.3246367136638,-0.15311450446024535,-1.0256537735462186,582.410743967692
2023-07-15 01:00:00,650.9131619771323,781.4240010579427,684.7715611775716,-0.1455565884709358,-1.1698766134679317,537.3589144388835
2023-07-15 02:00:00,440.36224899292,659.0692125956219,569.7129179636638,-0.17320967277822394,-1.0775811123351255,433.2272066752116
2023-07-15 03:00:00,465.57205988566085,732.1713915507002,534.4744489669802,-0.19748392246353128,-1.0721571840345858,450.2071796417237
2023-07-15 04:00:00,735.1432655334474,931.1458796183273,849.9983545939131,-0.1500024209730327,-1.0881621929506455,598.4431645711264
2023-07-15 05:00:00,855.0238011678063,1238.8833002726244,990.2574752807619,-0.15996108840530118,-1.1025334846580035,840.157504018148
